2026-09-19T07:25:22.008Z | GET | /
2026-09-19T07:25:25.743Z | GET | /status
2026-09-19T07:29:32.149Z | GET | /
2026-09-19T07:37:31.991Z | GET | /
2026-09-19T07:37:32.092Z | GET | /public/css/styles.css
2026-09-19T07:37:32.555Z | GET | /favicon.ico
2026-09-19T07:45:16.120Z | GET | /
2026-09-19T07:45:16.269Z | GET | /public/css/styles.css
2026-09-19T07:45:34.367Z | GET | /status
2026-09-19T07:45:49.118Z | GET | /public/css/styles.css
2026-09-19T07:46:38.820Z | GET | /
2026-09-19T07:46:38.904Z | GET | /public/css/styles.css
2026-09-19T07:46:49.126Z | GET | /status
2026-09-19T07:46:58.084Z | GET | /public/css/styles.css
2026-09-19T07:52:22.882Z | GET | /
2026-09-19T07:52:22.976Z | GET | /public/css/styles.css
2026-09-19T14:02:03.573Z | GET | /
2026-09-19T14:02:03.592Z | GET | /public/css/styles.css
2026-09-19T14:04:03.127Z | HEAD | /
2026-09-19T14:04:03.191Z | GET | /status
2026-09-19T14:04:57.823Z | HEAD | /public/css/styles.css
2026-09-19T14:34:37.028Z | GET | /
2026-09-19T14:34:37.089Z | GET | /public/css/styles.css
2026-09-19T14:34:37.136Z | GET | /favicon.ico
2026-09-19T14:36:40.414Z | GET | /status
2026-09-19T17:03:53.867Z | GET | /pacientes
2026-09-19T17:05:50.550Z | GET | /pacientes
2026-09-19T17:06:04.412Z | GET | /pacientes?nombre=Camila
2026-09-19T17:09:24.314Z | POST | /pacientes
2026-09-19T17:10:44.602Z | POST | /pacientes
2026-09-19T17:11:33.848Z | POST | /pacientes
2026-09-19T17:13:23.566Z | PUT | /pacientes/4
2026-09-19T17:14:08.453Z | PUT | /pacientes/999
2026-09-19T17:15:33.556Z | DELETE | /pacientes/4
2026-09-19T17:16:14.858Z | DELETE | /pacientes/4
